venue,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00
kompaan binnenhaven,,,,,,,,,aloyse,aloyse,,,,,,,pyke,pyke,,,
skatestore,,,,,surfer rosa,surfer rosa,,,,,,,,chet,chet,,,,,,
buya boutique,,,djani,djani,,,,,,,skyaa,skyaa,,,,,,,,,
square eight vintage,,,,,,,moses itch,moses itch,,,,,kram!,kram!,,,,,,,
3345,,,,,kleine oelewapper,kleine oelewapper,,,,,xcelia,xcelia,,,,,,,,,
kunstbar,,,,,,,,zoef,zoef,,,,,,,,,isai,isai,,
"N&M Tapijt, boekhorststraat 45",,,,,dolly min,dolly min,,,,,,,stip,stip,,,,,,,
"N&M Tapijt, boekhorststraat 46",,,,,,,bleedroot,bleedroot,,,,,,,,,inbranders,inbranders,,,
de boomhuttenclub,,,,,,,,,,,,,,,sesame,sesame,,,platonic smile,platonic smile,
zusjes vintage,tinko & coos,tinko & coos,,,,,,,l'orne,l'orne,,,,,,,,,,,
mad science,,,flipperkast,flipperkast,,,,,,,sneurf,sneurf,,,,,,,,,